Date,Category,Amount,Note,type,Payment mode,To payment mode,Tags
2025-01-31 14:53,Items in home,450.00,Washing machine cover,Expense,ICICI BANK,,
2025-01-31 14:52,Dining and eatouts,20.00,Dabeli,Expense,SBI bank,,
2025-01-31 14:51,Dining and eatouts,10.00,paani bottle,Expense,SBI bank,,
2025-01-31 14:51,Dining and eatouts,30.00,Vadapav,Expense,SBI bank,,
2025-01-31 14:51,Snacks and Food,36.00,Milk,Expense,SBI bank,,
2025-01-31 14:51,Others,24.00,,Expense,SBI bank,,
2025-01-31 14:50,Snacks and Food,255.00,Sweets,Expense,ICICI BANK,,
2025-01-31 14:50,Kirana ,2161.48,DMART,Expense,ICICI BANK,,
2025-01-31 14:50,Bike,70.00,Bike wash,Expense,ICICI BANK,,
2025-01-31 14:49,New Home,417.00,Door repair,Expense,ICICI BANK,,
2025-01-31 09:58,Bills and Utilities,130.00,Google photos,Expense,Rupay ICICI Card,,
2025-01-31 09:54,Dining and eatouts,70.00,Badaam shake,Expense,SBI bank,,
2025-01-31 09:54,Zomato and Swiggy,290.00,Pakwaan,Expense,SBI bank,,
2025-01-30 10:51,Zomato and Swiggy,264.00,Pakwan,Expense,SBI bank,,
2025-01-30 10:51,Dining and eatouts,20.00,Kachori,Expense,SBI bank,,
2025-01-30 10:50,Items in home,900.00,Plastic hanging fake plants,Expense,ICICI BANK,,
2025-01-29 11:22,Dining and eatouts,140.00,Dosa,Expense,SBI bank,,
2025-01-29 10:45,Transfer,1000.00,,Transfer,ICICI BANK,SBI bank,
2025-01-29 10:44,Recieved from Others,3000.00,Tb recieved,Income,ICICI BANK,,
2025-01-29 10:44,Bills and Utilities,350.00,Tv recharge,Expense,ICICI BANK,,
2025-01-29 10:43,Vegetables & fruits,40.00,Tarbooj,Expense,ICICI BANK,,
2025-01-29 10:43,Snacks and Food,25.00,Jalebi,Expense,ICICI BANK,,
2025-01-29 10:43,Dining and eatouts,30.00,Bhakri,Expense,ICICI BANK,,
2025-01-28 19:37,Dining and eatouts,20.00,Usacha ras,Expense,ICICI BANK,,
2025-01-28 19:36,Items in home,100.00,Nursery plants,Expense,ICICI BANK,,
2025-01-28 19:36,Items in home,100.00,Nursery plants,Expense,ICICI BANK,,
2025-01-28 19:36,Vegetables & fruits,20.00,Kothimbir,Expense,ICICI BANK,,
2025-01-28 19:36,Vegetables & fruits,260.00,Dalimb apple,Expense,ICICI BANK,,
2025-01-28 19:36,Items in home,180.00,White spray paint,Expense,ICICI BANK,,
2025-01-28 19:35,Others,230.00,Pan D tab,Expense,ICICI BANK,,
2025-01-28 19:35,Dining and eatouts,20.00,Kulfi,Expense,ICICI BANK,,
2025-01-26 23:04,Dining and eatouts,90.00,Faluda,Expense,ICICI BANK,,
2025-01-26 23:04,Others,20.00,Chikku bhaiya coldrink,Expense,ICICI BANK,,
2025-01-26 23:03,Others,122.00,Aunty trip,Expense,ICICI BANK,,
2025-01-26 10:04,Entertainment,199.00,Netflix,Expense,Amazon ICICI,,
2025-01-26 10:04,Dining and eatouts,100.00,Anda rice,Expense,ICICI BANK,,
2025-01-26 10:03,Dining and eatouts,25.00,Kulfi,Expense,ICICI BANK,,
2025-01-26 10:03,Kirana ,100.00,Janata food bazaar,Expense,ICICI BANK,,
2025-01-26 10:03,Others,43.00,Cataspa,Expense,ICICI BANK,,
2025-01-26 10:03,Vegetables & fruits,10.00,Limbu,Expense,UPI LITE,,
2025-01-26 10:02,Dining and eatouts,198.00,Strawberry at phoenix,Expense,ICICI BANK,,
2025-01-26 10:02,Entertainment,670.00,Fussclass dabhade,Expense,ICICI BANK,,
2025-01-26 10:02,Kirana ,153.00,Janata bazaar,Expense,ICICI BANK,,
2025-01-26 10:01,Dining and eatouts,85.00,Idli,Expense,ICICI BANK,,
2025-01-26 10:01,Kirana ,162.00,Janata bazaar,Expense,ICICI BANK,,
2025-01-26 10:01,Kirana ,70.00,Janata bazaar,Expense,ICICI BANK,,
2025-01-26 10:00,Dining and eatouts,50.00,Bhaji,Expense,ICICI BANK,,
2025-01-26 10:00,Dining and eatouts,25.00,Paan,Expense,ICICI BANK,,
2025-01-25 09:56,Entertainment,804.96,Fussclass dabhade,Expense,Amazon ICICI,,
2025-01-23 20:34,Transfer,500.00,,Transfer,ICICI BANK,SBI bank,
