,Date,Category,Amount,Note,type,Payment mode,To payment mode,Tags,instructions
0,2025-01-31 14:53:00,Items in home,450.0,Washing machine cover,Expense,ICICI BANK,,," On Date 2025-01-31 14:53:00 an amount of rupees 450.0 were spent from ICICI BANK account in category
            ""Items in home"" with a note mentioned as ""Washing machine cover""  "
1,2025-01-31 14:52:00,Dining and eatouts,20.0,Dabeli,Expense,SBI bank,,," On Date 2025-01-31 14:52:00 an amount of rupees 20.0 were spent from SBI bank account in category
            ""Dining and eatouts"" with a note mentioned as ""Dabeli""  "
2,2025-01-31 14:51:00,Dining and eatouts,10.0,paani bottle,Expense,SBI bank,,," On Date 2025-01-31 14:51:00 an amount of rupees 10.0 were spent from SBI bank account in category
            ""Dining and eatouts"" with a note mentioned as ""paani bottle""  "
3,2025-01-31 14:51:00,Dining and eatouts,30.0,Vadapav,Expense,SBI bank,,," On Date 2025-01-31 14:51:00 an amount of rupees 30.0 were spent from SBI bank account in category
            ""Dining and eatouts"" with a note mentioned as ""Vadapav""  "
4,2025-01-31 14:51:00,Snacks and Food,36.0,Milk,Expense,SBI bank,,," On Date 2025-01-31 14:51:00 an amount of rupees 36.0 were spent from SBI bank account in category
            ""Snacks and Food"" with a note mentioned as ""Milk""  "
5,2025-01-31 14:51:00,Others,24.0,,Expense,SBI bank,,," On Date 2025-01-31 14:51:00 an amount of rupees 24.0 were spent from SBI bank account in category
            ""Others""  "
6,2025-01-31 14:50:00,Snacks and Food,255.0,Sweets,Expense,ICICI BANK,,," On Date 2025-01-31 14:50:00 an amount of rupees 255.0 were spent from ICICI BANK account in category
            ""Snacks and Food"" with a note mentioned as ""Sweets""  "
7,2025-01-31 14:50:00,Kirana ,2161.48,DMART,Expense,ICICI BANK,,," On Date 2025-01-31 14:50:00 an amount of rupees 2161.48 were spent from ICICI BANK account in category
            ""Kirana "" with a note mentioned as ""DMART""  "
8,2025-01-31 14:50:00,Bike,70.0,Bike wash,Expense,ICICI BANK,,," On Date 2025-01-31 14:50:00 an amount of rupees 70.0 were spent from ICICI BANK account in category
            ""Bike"" with a note mentioned as ""Bike wash""  "
9,2025-01-31 14:49:00,New Home,417.0,Door repair,Expense,ICICI BANK,,," On Date 2025-01-31 14:49:00 an amount of rupees 417.0 were spent from ICICI BANK account in category
            ""New Home"" with a note mentioned as ""Door repair""  "
